time,pair,quoteAmount,open,high,low,close
2024-02-21 00:00:00,WETH/USDT,2850299.529687,3003.649441644711,3021.7576810752225,2867.1658455185784,3002.1981208857515
2024-02-21 00:05:00,WETH/USDT,1335255.665607,3012.9635014744435,3023.397933240287,2951.841657646166,3004.5841328483075
2024-02-21 00:10:00,WETH/USDT,228875.24731,3004.499924008458,3022.598024545884,3002.7855205846886,3004.5067199878285
2024-02-21 00:15:00,WETH/USDT,179348.66398,3004.473296632122,3022.577014011431,3002.851112159982,3002.9627325175466
2024-02-21 00:20:00,WETH/USDT,121113.573467,3022.1185751748685,3022.1975176256083,3003.8589463199996,3003.8589463199996
2024-02-21 00:25:00,WETH/USDT,90109.723312,3021.9922481767453,3021.9922481767453,3002.287132561191,3020.4448741423926
2024-02-21 00:30:00,WETH/USDT,133337.867931,3002.3417874000575,3020.6393739370137,3001.5620986748027,3006.071138158305
2024-02-21 00:35:00,WETH/USDT,2725951.849701,3001.764100663368,3025.8714844646797,2883.1483714617434,3012.846235947502
2024-02-21 00:40:00,WETH/USDT,211674.611866,3000.8143677492094,3019.223703344738,3000.5099098358746,3000.635876708675
2024-02-21 00:45:00,WETH/USDT,406806.482188,3006.4245038194263,3021.3338921826357,3000.511463421093,3006.3812034867724
2024-02-21 00:50:00,WETH/USDT,254161.501309,3018.7597617084984,3019.465467454918,3000.1759857479383,3000.4571039809593
2024-02-21 00:55:00,WETH/USDT,1592399.305348,2999.230889548768,3039.351408647216,2997.4366709161814,3018.177007479766
2024-02-21 01:00:00,WETH/USDT,387321.681415,2999.8720981558963,3017.228724467604,2995.705735612349,2999.2807318789037
2024-02-21 01:05:00,WETH/USDT,253830.888387,3014.2116612295413,3014.3135082362264,2995.5397434948577,2997.421287472892
2024-02-21 01:10:00,WETH/USDT,110253.992573,3014.05212965989,3014.1315579228653,2995.388076905667,3000.7724011566106
2024-02-21 01:15:00,WETH/USDT,75054.301948,3013.6268815736603,3013.902238354726,2995.750858816932,3000.2236442156027
2024-02-21 01:20:00,WETH/USDT,499781.670335,3013.994768838058,3014.202386425285,2992.859848374914,2996.9309316658478
2024-02-21 01:25:00,WETH/USDT,196206.950229,2997.5103507003923,3011.6314482468974,2993.0360519508718,3011.214914801985
2024-02-21 01:30:00,WETH/USDT,963146.663638,2998.8991517115246,3023.8733899284243,2992.701585029773,2996.7425432693994
2024-02-21 01:35:00,WETH/USDT,156633.382625,2996.723597481972,3012.024555342462,2993.001718948838,2993.001718948838
2024-02-21 01:40:00,WETH/USDT,579465.754184,2994.222090761282,3010.657949074853,2979.252754745839,2980.4506698937066
